shipName,shipType,nationality,company
Resource,6th rate,British,RN
Staatsraad Baud,,Dutch,
Heureux,6th rate,British,RN
EL MAGALLANES,PAQUEBOTE,Spanish,
Prothee,3rd Rate,British,RN
Warwick,4th Rate,British,RN
La Loire,Gabarre,French,
DESCONOCIDO-25,,Spanish,
Johanna,,Dutch,
Merapi,Steamer,Dutch,
La Pintade,,French,
EL PATAGON,PAQUEBOTE,Spanish,
Prins van Oranje,,Dutch,ADM
Lansier,Schoenerbrik,Dutch,
LOS TRES AMIGOS,BERGANTN,Spanish,
Bromo,Steamer,Dutch,
Panther,4th Rate,Dutch,ADM
Palembang,Fregat,Dutch,ADM
Pollux,,Dutch,MAR
LAquillon,,French,
Heldin,Korvet,Dutch,ADM
Queen Charlotte,,British,Hudson Bay Company
Rattler,Sloop,British,RN
Mercuur,Brik,Dutch,ADM
DESCONOCIDO-10,,Spanish,
Vrede,,Dutch,MAR
La Lamproye,,French,
Eenigheijt,,Dutch,MCC
Noordbeveland,,Dutch,VOC
LA FENIX,GOLETA GUARDA C,Spanish,
Nassau,,Dutch,
Boreas,6th Rate,Dutch,ADM
Melville Castle,,British,EIC
Prince Rupert,,British,Hudson Bay Company
Europa,,British,RN
Dover Castle,,British,EIC
Coventry,6th Rate,British,RN
Princes Royal Frederique,,Dutch,ADM
Woolwich,,British,RN
MAGDALENA,FRAGATA,Spanish,
Rotterdam,,Dutch,
Rhijn,,Dutch,
Magicienne,5th Rate,British,RN
King George III,,British,Hudson Bay Company
Stag,5th rate,British,RN
Castor,Fregat,Dutch,ADM
DESCONOCIDO-02,,Spanish,
Laurel,6th rate,British,RN
DESCONOCIDO-18,NAVO,Spanish,
Atalante,Brik,Dutch,ADM
Eliza,,Dutch,
Admiraal Jan Evertsen,,Dutch,ADM
LIndiscrette,,French,
LHeureux,,French,
Ruby,3rd rate,British,RN
Regulus,5th rate,British,RN
DESCONOCIDO-11,PAQUEBOTE,Spanish,
Cortgene,,Dutch,
Auguste,Fregat,Dutch,Particulier
Havick,Fregat,Dutch,MAR
Le Vicomte de Choiseuil,,French,
Asia,,British,EIC
Koning Willem II,,Dutch,
SANTA TERESA (ALIAS DRAGON),NAVO,Spanish,
Arundel,6th Rate,British,RN
Asia,,British,RN
Suriname,,Dutch,
Yarmouth,3rd Rate,British,RN
Le Oiseau,,French,
Zwaan,,Dutch,VOC
General Elliot,,British,EIC
Terpsichore,5th rate,British,RN
Na Sa DEL VALLE,PAQUEBOTE,Spanish,
Na Sa DE LOS DOLORES,FRAGATA,Spanish,
Warley,,British,EIC
Thames,,British,EIC
SANT JOSEPH,NAVO,Spanish,
Guernsey,4th Rate,British,RN
Jason,,British,RN
Earl Spencer,,British,EIC
Neerlands Indi,,Dutch,
Tartar,Frigate,British,RN
LA MOSCA,GOLETA,Spanish,
Pylades,sloop,British,RN
La Diana,Fragata correo,Spanish,
EL COLON,PAQUEBOTE,Spanish,
CORZO,FALUCHO,Spanish,
Le Paquebot,,French,
SANTA CASILDA Y SANTA EULALIA,PAQUEBOTES,Spanish,
Vrouwe Cornelia Hillegonda,,Dutch,VOC
Doctrina et Amicitia,,Dutch,MAR
Jupiter,4th rate,British,RN
Streatham,,British,EIC
LA DESCUBIERTA Y ATREVIDA,FRAGATA,Spanish,
PERPETUA,FRAGATA,Spanish,
Jacoba,,Dutch,
Havick,Fregat,British,RN
Pearl,5th Rate,British,RN
Inconnu-2,,French,
Goede Trouw,,Dutch,VOC
Magnanime,3rd Rate,British,RN
Oud Haarlem,,Dutch,VOC
Meermin,,Dutch,Marine
Eagle,3rd rate,British,RN
Levant,6th Rate,British,RN
JACINTA,MISTICO,Spanish,
Bristol,4th Rate,British,RN
Queen,,British,EIC
Le Zephir,,French,
India,,Dutch,
Komeet,Korvet,Dutch,MAR
ASTUTO,NAVIO,Spanish,
SAN PEDRO DE ALCANTARA,NAVO,Spanish,
DESCONOCIDO-28,NAVO,Spanish,
Drie Gebroeders,,Dutch,
Hippomenes,Korvet,Dutch,ADM
Le Triton,,French,
Lapwing,,British,RN
Lapwing,,British,EIC
Racehorse,special vessel,British,RN
Batavia,,Dutch,A. van Hoboken & zn. Te Rotterdam.
Star,brig/sloop,Dutch,VOC
Manilla,Sloop,British,RN
EL ACTIVO,PAQUEBOTE,Spanish,
PRINCIPE,Fragata correo,Spanish,
Rhoon en Pendrecht,,Dutch,
Maria Elisabeth,,Dutch,Marine
EL PIZARRO,Fragata Correo,Spanish,
Prinses Marianne,,Dutch,
Hermes,Sloop,British,RN
EL CARMEN (ALIAS EL SALVADOR),FRAGATA,Spanish,
Phoenix,,British,RN
Falcon,brig,British,RN
SAN JOSE EL PERUANO,NAVIO,Spanish,
Ceres,,Dutch,ADM
Meermin,,Dutch,MAR
Hercules,,Dutch,VOC
Gibraltar,3rd Rate,British,RN
Willem,,Dutch,
RL. CARLOS,NAVO,Spanish,
Chichester,Storeship,British,RN
Komeet,Korvet,Dutch,Marine
Hecla,Steamer,Dutch,Marine
Lansdown,,British,EIC
LA LIEBRE,FRAGATA,Spanish,
Kent,,British,RN
Kent,,British,EIC
Scipio,Fregat,Dutch,ADM
Sphinx,,British,RN
Prudent,3rd Rate,British,RN
Maarsen,Oorlogsschip,Dutch,ADM
EL LANZAROTE,PAQUEBOTE,Spanish,
Maas,Fregat,Dutch,ADM
Bellona,,Dutch,
Willem Barendsz,Bark,Dutch,
Pollux,,Dutch,VOC
Amazon,5th Rate,British,RN
Liverpool,6th Rate,British,RN
Adder,Schoener,Dutch,
SERIO,NAVO,Spanish,
SAN RAFAEL,FRAGATA,Spanish,
Arend,,Dutch,MAR
Javaan,,Dutch,MAR
Medea,6th Rate,British,RN
Gouverneur Generaal de Klerk,,Dutch,VOC
Piet Heijn,Fregat,Dutch,MER
LA PRINCESA,FRAGATA,Spanish,
El Gallego,Paquebot,Spanish,
Orangezaal,Fregat,Dutch,ADM
Inconnu-1,,French,
Drie Vrienden,,Dutch,
Soerabaya,,Dutch,
Wilhelmina,,Dutch,ADM
Mentor,,Dutch,
Elisabeth,,Dutch,
Monmouth,3rd Rate,British,RN
Estafette,Bark,Dutch,
Valentine,,British,EIC
SAN JOSEPH,DESCONOCIDO,Spanish,
Glatton,,British,EIC
Ambuscade,5th Rate,British,RN
Dunkirk,4th Rate,British,RN
Dordrecht,,Dutch,MAR
La Capriciense,Fragate,French,
Geertruida,Oorlogsschip,Dutch,MAR
Star,brig/sloop,British,RN
Raven,Sloop,British,RN
Nereide,5th rate,British,RN
SAN PIO,CORVETA,Spanish,
Zanggodin,,Dutch,MCC
El Real Carlos,Paquebot,Spanish,
Blandford,Frigate,British,RN
Grafton,3rd Rate,British,RN
Candia,,Dutch,VOC
Experiment,4th Rate,British,RN
Lively,6th Rate,British,RN
Iris,,Dutch,MAR
SAN PEDRO APOSTOL,NAVO,Spanish,
Arend,,Dutch,Marine
Superb,3rd rate,British,RN
Nautilus,Sloop,British,RN
DILIGENTE,NAVO,Spanish,
SAN LORENZO,NAVIO,Spanish,
Guardian,5th rate,British,RN
Vrouwe Anthonetta Coenrardina,,Dutch,VOC
Monarca,3rd Rate,British,RN
Royal Charlotte,,British,EIC
La Bergere,,French,
Glory,5th Rate,British,RN
LOiseau,5th rate,British,RN
Northumberland,,British,EIC
Wesel,Galjoot,Dutch,VOC
EL PINZON,PAQUEBOTE,Spanish,
Princess Amelia,3rd Rate,British,RN
Unknown-03,,Dutch,ADM
Inglis,,British,EIC
Shannon,5th Rate,British,RN
Van der Werff,Fregat,Dutch,MAR
Magdalena,,Dutch,
SAN FRANCISCO XAVIER,BERGANTIN,Spanish,
Shaftesbury,,British,EIC
Allarm,Fregat,Dutch,ADM
Zeeuw,,Dutch,Marine
DESCONOCIDO-23,DESCONOCIDA,Spanish,
Thisbe,,British,RN
Leviathan,3rd rate,British,RN
DESCONOCIDO-19,FRAGATA,Spanish,
Vrouwe Johanna Cores,Fregat,Dutch,MCC
