shipName,shipType,nationality,company
Echo,Brik,Dutch,MAR
Majestic,3rd rate,British,RN
SANTA TERESA DE JES_S,NAVO,Spanish,
Trusty,4th rate,British,RN
Europa,,Dutch,MER
Straat Bali,,Dutch,
Die Gebruder,,Hamburg,
Hind,6th Rate,British,RN
Earl Talbot,,British,EIC
Merwede,,Dutch,
Argo,5th rate,Dutch,Marine
La Durance,,French,
Gouverneur Elsevier,,Dutch,
EL SEPTENTRIN,BERGANTN,Spanish,
Sloterdijk,,Dutch,VOC
SAN PASCUAL,NAVO,Spanish,
SANTA EULALIA,PAQUEBOTE,Spanish,
La Flore,,French,
PURISIMA CONCEPCIN,DESCONOCIDO,Spanish,
Mediator,5th Rate,British,RN
Hoop,,Dutch,WHA
Admiraal Evertsen,,Dutch,ADM
Penzance,5th Rate,British,RN
EL MONARCA,NAVO,Spanish,
Abel Tasman,,Dutch,
Cornelia,Bark,Dutch,
Amphitrite,,British,RN
Piet Heijn,Fregat,Dutch,MAR
SANTIAGO,PAQUEBOTE,Spanish,
Sybille,5th rate,British,RN
La Lourde,,French,
Curacao,Steamer,Dutch,ADM
Neerlands Koning,,Dutch,
Arend,,Dutch,MER
Gedeh,Stoomschip,Dutch,MAR
Rotterdams Welvaren,,Dutch,"A. Hoboken, Rotterdam"
Wilhelmina Lucia,,Dutch,MER
Amsterdam,,Dutch,MER
ASUNCIN,FRAGATA,Spanish,
Atalante,Brik,Dutch,
Argo,5th rate,Dutch,MAR
Aolus,5th Rate,British,RN
Admiraal Jan Evertsen,,Dutch,
Le Danube,,French,
Sirene,,Dutch,MAR
Alligator,6th rate,British,RN
Glasgow,,British,RN
Macqueen,,British,EIC
Lynx,Korvet,Dutch,Marine
Attelante,Brik,Dutch,Thomas Brouw en Zn.
LAimable,5th rate,British,RN
Conqueror,3rd rate,British,RN
Cadmus,,Dutch,
Irene,Brik,Dutch,
Montague,3rd Rate,British,RN
La Loir,,French,
Saphire,,British,RN
La Poulette,Corvette,French,
Rotterdam,,Dutch,ADM
York,,British,EIC
Renown,,British,RN
Ajax,Korvet,Dutch,ADM
PODEROSO,FRAGATA,Spanish,
Augusta,,British,EIC
Seaford,6th Rate,British,RN
EUROPA,NAVIO,Spanish,
FENIX,NAVO,Spanish,
Euridice,,Dutch,ADM
Scarborough,6th Rate,British,RN
Crescent,5th rate,British,RN
Diana,5th rate,Dutch,Marine
Philadelphia,,Dutch,MCC
Dageraad,Fregat,Dutch,Marine
DESCONOCIDO-16,FRAGATA,Spanish,
Alkemade,,Dutch,VOC
EL REY,PAQUEBOTE,Spanish,
Venus,Brik,Dutch,MAR
Panter,Brik,Dutch,MAR
Colchester,,British,RN
Colchester,,British,EIC
Triton,6th rate,British,RN
Nehalennia,Fregat,Dutch,MAR
Na Sa DE ARANZAZU,FRAGATA,Spanish,
Sambre,Fregat,Dutch,Marine
Westerveld,,Dutch,VOC
La Perle,,French,
"Na Sa DEL ROSARIO, (LA PAZ)",FRAGATA,Spanish,
Cornelia Sara,,Dutch,
Aurora,,Dutch,
AUDAZ,BERGANTN,Spanish,
Maria Reigersbergen,Fregat,Dutch,Marine
Le Rh_ne,Gabarre,French,
DESCONOCIDO-06,PAQUEBOTE,Spanish,
La Graciense,Fregate,French,
Bato,,Dutch,MAR
Valk,Brik,Dutch,MAR
Pecering,Brik,Dutch,
Diana,5th rate,Dutch,MAR
No. 12,Paquebot,French,
Oud Nederland,Fregat,Dutch,
Eliza Susanna,,Dutch,
Nederlands Welvaren,,Dutch,VOC
Travers,,British,EIC
Le Etoile,,French,
Fowey,6th Rate,British,RN
La Tourterelle,,French,
Severn,,British,RN
SAN VICENTE,NAVO,Spanish,
SANTA GERTRUDIS,FRAGATA,Spanish,
Princes Louisa,Oorlogsschip,Dutch,ADM
INFANTE,PAQUEBOTE,Spanish,
Venus,Brik,Dutch,Marine
Utrecht,Fregat,Dutch,ADM
Africa,,Dutch,VOC
Vlietlust,,Dutch,
Vergenoegen,Fregat,Dutch,MER
Warren Hastings,,British,EIC
Tremendous,,British,RN
Nehalennia,Fregat,Dutch,Marine
Hester,merchant brig,British,RN
Sambre,Fregat,Dutch,MAR
LA ATREVIDA,CORVETA,Spanish,
Jonge Lieve,,Dutch,VOC
Margaretha Simonette,,Dutch,
MARQUESA DE BALVUENA,FRAGATA,Spanish,
Swift,sloop,British,RN
Pegasus,Brik,Dutch,MAR
HERCULES,NAVO,Spanish,
Diligencia,,Spanish,
Prins Frederik,,Dutch,
Jacob Roggeveen,,Dutch,
Le Rossignol,,French,
Unknown-01,,Dutch,Marine
Unknown-10,,Dutch,
Elise,Fregat,Dutch,ADM
Perseus,6th Rate,British,RN
Zwaluw,Brik,Dutch,MAR
La Mnagre,,French,
Bos en Hoven,,Dutch,VOC
Marij-Goddard,Schoener,Dutch,
Geertuijda en Christina,Fregat,Dutch,MCC
Atlas,,British,EIC
EFIGENIA,FRAGATA,Spanish,
Sumatra-Java,Fregat,Dutch,MAR
Le Salomon,,French,
Merlin,Sloop,British,RN
Griffin,,British,RN
Europa,,Dutch,
Griffin,,British,EIC
Schiedam,,Dutch,
Antelope,4th Rate,British,RN
Bulldog,Sloop,British,RN
El Tucuman,Fragata correo,Spanish,
Banka,Schoenerbrik,Dutch,
SANTA BIBIANA,FRAGATA,Spanish,
EL GALLARDO,NAVO,Spanish,
VENUS,FRAGATA,Spanish,
SANTA ELENA,FRAGATA,Spanish,
Albrecht Beijling,,Dutch,
Swan,sloop,British,RN
China,,Dutch,
Fanny,,Dutch,
DESCONOCIDO-05,PAQUEBOTE,Spanish,
Wassenaar,,Dutch,ADM
La Belle Poule,,French,
L Esperance,,French,ADM
Egmond,,Dutch,ADM
Aruba,Schoener,Dutch,
LExperiment,,French,
Na Sa DE LA PIEDAD,PAQUEBOTE,Spanish,
Georgina,,British,EIC
Ferret,Brig,British,RN
Etna,Stoomschip,Dutch,
Propatria,,Dutch,WHA
Dolfijn,Korvet,Dutch,MAR
LA LORETO,FRAGATA,Spanish,
Le Bizarre,,French,
Ludlow Castle,6th Rate,British,RN
Marlborough,,British,EIC
Rippon,4th Rate,British,RN
General Coote,,British,EIC
Tweed,5th rate,British,RN
Snoek en Both,Fregat,Dutch,WIC
Javaan,,Dutch,
Vulture,Sloop,British,RN
Hornet,sloop,British,RN
Amsterdam,,Dutch,
SANTA BRBARA,FRAGATA,Spanish,
Azia,,Dutch,
Sphynx,6th rate  ,British,RN
Eensgezindheid,,Dutch,MAR
El Rey,Fragata correo,Spanish,
Rendier,O.I. Schip,Dutch,MER
Kemphaan,,Dutch,
Guadaloupe,6th Rate,British,RN
Sara Johanna,,Dutch,
Veere,,Dutch,VOC
Jason,,Dutch,
Kingfisher,Sloop,British,RN
Intrepid,3rd rate,British,RN
Sandwich,,British,EIC
Seahorse,,British,RN
Tempel,,Dutch,VOC
RESOLUCION Y AVENTURA,NAVIO,Spanish,
Vliegende Faam,,Dutch,WIC
Otter,Sloop,British,RN
Tromp,,Dutch,MAR
Eliza,,British,Merchant Navy
Verwachting,Chialoup,Dutch,VOC
Fox,5th rate,British,RN
Janus,5th Rate,British,RN
Lascelles,,British,EIC
Bellona,,Dutch,MAR
Maria Elisabeth,,Dutch,
TERRIBLE,NAVO,Spanish,
Lord Walsingham,,British,EIC
Garland,,British,RN
Decade,5th Rate,British,RN
Lizard,6th Rate,British,RN
Freden,,Swedish,Swedish East India Company
SAN JULIAN,NAVO,Spanish,
Enterprise,6th rate,British,RN
Windhond,Brigantijn,Dutch,ADM
ATREVIDA Y DESCUBIERTA,CORBETAS,Spanish,
EL DESPACHO,PAQUEBOTE,Spanish,
Buckingham,3rd Rate,British,RN
Zaan,Fregat,Dutch,ADM
Vreedenburg,,Dutch,VOC
Frankendaal,,Dutch,WHA
La Coulisse,,French,
Princess Augusta,,British,EIC
SAN JOSEF,NAVO,Spanish,
Le Saumon,Gabarre,French,
Royal George,,British,EIC
Standvastigheid,,Dutch,MCC
Koerier,,Dutch,MAR
Elephant,3rd rate,British,RN
Unie,,Dutch,VOC
Bellona,,Dutch,Marine
Greyhound,,British,RN
Jan en Cornelis,Koopvaarder,Dutch,
Vanguard,3rd rate,British,RN
Dromedary,Storeship,British,RN
Chesterfield,5th Rate,British,RN
Maas Nijmph,,Dutch,
La Pomone,,French,
Surprise,,British,RN
Plancius,,Dutch,
Prince George,,British,EIC
Amphitrite,,Dutch,ADM
SAN ISIDORO,NAVO,Spanish,
SEPTENTRIN,NAVO,Spanish,
Van Oldenbarneveld,,Dutch,MER
Borssele,,Dutch,VOC
Mercator,Bark,Dutch,
Carysfort,6th rate,British,RN
Vasco de Gama,,Dutch,Particulier
La Seine,,French,
NaSa DEL ROSARIO (LA NUMANCIA),FRAGATA,Spanish,
Soolo,,Dutch,
Boyne,2nd rate,British,RN
SANTA MARIA MAGDALENA,FRAGATA,Spanish,
MIO,NAVO,Spanish,
Albatross,Brig,British,RN
Komeet,Korvet,Dutch,
Formosa,,Dutch,
Marquis of Lansdowne,,British,EIC
Amicitia,,Dutch,
Catharina Johanna,,Dutch,
Diadem,3rd Rate,British,RN
Agatha,,Dutch,WHA
La Boussole,,French,
Nieuw Lekkerland,,Dutch,
Theodora en Sara,,Dutch,
Morning Star,4th Rate,British,RN
Catharina,,Dutch,
Christiaan Huijgens,,Dutch,
Ternate,,Dutch,"H. v. Rijckevorsel, Rotterdam"
Alarm,5th rate,British,RN
Cumberland,,British,RN
Dreadnought,3rd Rate,British,RN
Active,5th rate,British,RN
Cumberland,,British,EIC
Crocodile,6th Rate,British,RN
Echo,Brik,Dutch,ADM
Snoek,,Dutch,ADM
Earl of Mansfield,,British,EIC
Doctrina et Amicitia,,Dutch,
Phoenix,,Dutch,
Trident,3rd rate,British,RN
La Desire,,French,
Curacao,Steamer,Dutch,Marine
SANTA ROSALA,FRAGATA,Spanish,
Susanna,,Dutch,
Anthony,,Dutch,MER
EL HOPP,BERGANTN,Spanish,
Rotterdam,,Dutch,Marine
San Fernando,Paquebot,Spanish,
Cyrene,6th Rate,British,RN
La Fortune,,French,
Bellona,,British,EIC
San Pedro y San Pablo,Fragata Correo,Spanish,
La Favorite,,French,
Le Aigle,,French,
Na Sa DEL ROSARIO,FRAGATA,Spanish,
Badger,Snow,British,RN
Hendrika,,Dutch,
Windham,,British,EIC
Caroline,,British,RN
Argo,5th rate,Dutch,ADM
No. 8,Paquebot,French,
Havick,Fregat,Dutch,
Montreal,5th Rate,British,RN
Le Parham,,French,
Clive,,British,EIC
Rainbow,5th Rate,British,RN
Suriname,,Dutch,MAR
Curacao,Steamer,Dutch,MAR
Speedwell,,British,RN
Maarseveen,,Dutch,VOC
Imperieuse,5th Rate,British,RN
Queen Charlotte,,British,
Blonde,5th Rate,British,RN
Ajax,Korvet,Dutch,MAR
Stavenisse,,Dutch,VOC
Sirene,,Dutch,ADM
Resolution,3rd Rate,British,RN
Repulse,,British,EIC
Prins Willem V,,Dutch,MCC
Java Koerier,,Dutch,
Batavia,,Dutch,MER
Pocock,,British,EIC
Laimable Marie Anne,,French,
Amazone,Fregat,Dutch,ADM
Vansittart,,British,EIC
El Grimaldi,Paquebot,Spanish,
Florida,storeship,British,RN
Sheerness,,British,RN
SANTA MARGARITA,FRAGATA,Spanish,
Medway,4th Rate,British,RN
La Diane,,French,
Dolphijn,,Dutch,ADM
Euridice,,Dutch,MAR
MERCURIO,CORBETA,Spanish,
Scorpion,sloop,British,RN
Anna,,Dutch,
Prins Frederik Hendrik,,Dutch,MAR
Vrouw Maria Cornelia,,Dutch,VOC
St Vincent,packet ship,British,
Admiral Vernon,,British,EIC
Dunira,,British,EIC
Nisus,,British,RN
Tigris,,British,EIC
La Petite Fortune,,French,
Martin,Sloop,British,RN
Welmeenende,Snauw,Dutch,MCC
EL GRIMALDI,PAQUEBOTE,Spanish,
Romney,4th rate,British,RN
EL TUCUMAN,PAQUEBOTE,Spanish,
Serpent,Schoener,Dutch,MAR
Perseverence,,British,EIC
Doddington,,British,EIC
Stork,Sloop,British,RN
La Dana,,French,
Spy,Cutter,British,RN
Boston,5th Rate,British,RN
Belmont,,British,EIC
Zeepaard,Fregat,Dutch,ADM
Thetis,5th Rate,Dutch,ADM
La Lamproie,,French,
Deal Castle,6th Rate,British,RN
Valk,Brik,Dutch,ADM
Rose,,British,EIC
Le Desir,,French,
Falmouth,4th Rate,British,RN
Rose,,British,RN
Maria Reigersbergen,Fregat,Dutch,ADM
Stirling Castle,3rd rate,British,RN
Welgeleegen,,Dutch,VOC
Zephyr,Oorlogssnauw,Dutch,ADM
Wassenaar,,Dutch,Admiraliteit
Rotterdams Welvaren,,Dutch,
DESCONOCIDO-29,NAVO,Spanish,
Unknown-04,,Dutch,
EL KAULIKAN,PAQUEBOTE,Spanish,
Spion,,Dutch,MAR
Saltash,,British,RN
DESCONOCIDO-24,DESCONOCIDO,Spanish,
Alderney,Sloop,British,RN
Egmont,3rd Rate,British,RN
Hippomenes,Korvet,Dutch,MER
El Patagon,Paquebot,Spanish,
VIVIANA,FRAGATA,Spanish,
Eltham,,British,RN
Rupel,Fregat,Dutch,MAR
Schiedam,,Dutch,WHA
Palembang,Fregat,Dutch,Marine
Standard,,British,RN
Leocadia,5th rate,British,RN
Grampus,4th Rate,British,RN
EL COLON 2?,Fragata correo,Spanish,
Grenadier,,Dutch,MCC
LEtoile,Flute,French,
Rhoon en Pendrecht,,Dutch,MER
Haast U Langzaam,Fregat,Dutch,MCC
Prins Frederik,,Dutch,MAR
Isis,4th rate,British,RN
Hunter,Sloop,British,RN
Arethusa,5th Rate,British,RN
Kroonprincesse Maria,,Danish,OIC
s-Gravenhage,,Dutch,MER
EL GRAN PODER DE DIOS,BALANDRA,Spanish,
Mars,,Dutch,ADM
La Fleur de Lys,,French,
Drie Gesusters,,Dutch,MCC
Kennington,6th Rate,British,RN
Dragon,,British,EIC
No. 3,Paquebot,French,
Pallas,5th Rate,British,RN
LA ASTREA,FRAGATA,Spanish,
Conway,6th rate,British,RN
Mentor,,Dutch,VOC-Z
Stad Utrecht,,Dutch,
Favourite,sloop,British,RN
Belleisle,3rd Rate,British,RN
Pollux,,Dutch,ADM
Nassau-Weilburgh,,Dutch,ADM
Palembang,Fregat,Dutch,MAR
St Maartensdijk,,Dutch,ADM
Hampshire,,British,RN
Heldin,Korvet,Dutch,MAR
SAN PEDRO,NAVO,Spanish,
SANTA PERPETUA,FRAGATA,Spanish,
Crown,,British,RN
Kemphaan,,Dutch,Adm
Humber,,British,RN
Pluto,,British,RN
EL GALLEGO,BERGANTIN,Spanish,
Seahorse,,British,Hudson Bay company
Culloden,3rd rate,British,RN
Unknown-06,,Dutch,
BUEN CONSEJO,NAVIO,Spanish,
Joan de Witt,,Dutch,MAR
SAN JAIME (EL VALENCIANO),BERGANTN,Spanish,
Wilhelmina en Maria,Fregatschip,Dutch,MER
Snelheid,,Dutch,ADM
Le Amphitrite,,French,
Mercurius,,Dutch,MCC
Panter,Brik,Dutch,
Boreas,6th Rate,Dutch,MAR
Na Sa DEL CARMEN (EL GRIEGO),PAQUEBOTE,Spanish,
SAN JUAN BAUTISTA,POLACRA,Spanish,
Polanen,,Dutch,ADM
DESCONOCIDO-27 (RAYO),NAVO,Spanish,
Castor,Fregat,Dutch,MAR
Amphitrite,,French,
Irene,Brik,Dutch,MAR
Success,6th Rate,British,RN
Braave,Fregat,Dutch,MAR
EL FAMOSO SEVILLANO,PAQUEBOTE,Spanish,
Havick,Fregat,Dutch,ADM
Niger,5th Rate,British,RN
