rain,voyageID,hail,date,windDirection,seaIce,thunder,snow,longitude,gusts,windSpeed,fog,locationID,latitude
0,4,0,1774-03-13 14:00,132,0,0,0,-26.3667,0,9.30000019,0,1,-13.4
0,4,0,1774-03-14 14:00,132,0,0,0,-27.0,0,6.69999981,0,2,-15.5167
0,4,0,1774-03-15 14:00,90,0,0,0,-27.65,0,9.30000019,0,3,-16.9667
0,4,0,1774-03-16 14:00,68,0,0,0,-28.4167,0,6.69999981,0,4,-18.4
0,4,0,1774-03-17 14:00,68,0,0,0,-29.0,0,4.5999999,0,5,-19.8333
0,4,0,1774-03-18 14:00,113,0,0,0,-29.6667,0,2.5999999,0,6,-21.25
0,4,0,1774-03-19 14:00,68,0,0,0,-30.5167,0,4.5999999,0,7,-22.8333
0,4,0,1774-03-20 14:00,87,0,0,0,-31.2667,0,6.69999981,0,8,-24.2833
0,4,0,1774-03-21 14:00,45,0,0,0,-31.7,0,6.69999981,0,9,-25.25
0,4,0,1774-03-22 14:00,3,0,0,0,-32.1833,0,2.5999999,0,10,-25.9333
1,4,0,1774-03-23 14:00,360,0,0,0,-32.3167,0,2.5999999,0,11,-26.5333
0,4,0,1774-03-24 14:00,0,0,0,0,-33.25,0,0,0,12,-28.0
0,4,0,1774-02-24 13:00,68,0,0,0,-20.7333,0,4.9000001,1,13,4.05
0,4,0,1774-02-25 13:00,0,0,0,0,-20.7667,0,0,0,14,3.56667
0,4,0,1774-02-26 13:00,0,0,0,0,-20.8167,0,1,0,15,3.73333
1,4,0,1774-02-27 13:00,0,0,0,0,-20.8333,0,0,0,16,3.15
0,4,0,1774-02-28 13:00,273,0,0,0,-20.9167,0,-1,0,17,2.03333
0,4,0,1774-03-01 13:00,273,0,0,0,-21.05,0,4.5999999,0,18,0.85
0,4,0,1774-03-02 13:00,23,0,0,0,-21.1,0,4.5999999,0,19,0.666667
0,4,0,1774-03-03 13:00,315,0,1,0,-20.9833,0,6.69999981,0,20,-0.783333
