locationID,latitude,longitude,date,voyageID,snow,airTemp,pressure,sst,winddirection,windSpeed,gusts,rain,fog,thunder,hail,seaIce
372544,47.4667,152.113,1787-08-25,18341,FALSE,12.5,-1,-1,158,6.69999981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310254,14.3833,-54.4367,1776-12-01,21067,FALSE,-1,-1,-1,45,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310150,36.0667,-48.1367,1777-03-16,18322,FALSE,-1,-1,-1,90,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
488528,21.4333,-62.4867,1787-06-24,18876,FALSE,-1,-1,-1,113,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
488533,23.85,-62.3533,1787-06-25,18876,FALSE,-1,-1,-1,90,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
488534,25.7333,-62.17,1787-06-26,18876,FALSE,-1,-1,-1,87,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
488535,27.7667,-62.07,1787-06-27,18876,FALSE,-1,-1,-1,113,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
488536,28.3833,-61.1367,1787-06-28,18876,FALSE,-1,-1,-1,225,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
488550,42.4667,-44.6533,1787-07-12,18876,FALSE,-1,-1,-1,158,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310495,21.2833,-62.9033,1773-06-08,18878,FALSE,-1,-1,-1,68,4.5999999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310510,43.4667,-34.57,1773-06-23,18878,FALSE,-1,-1,-1,338,6.69999981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310511,43.6833,-33.5367,1773-06-24,18878,FALSE,-1,-1,-1,23,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310512,43.8333,-33.5367,1773-06-25,18878,FALSE,-1,-1,-1,135,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310513,44.1833,-32.8533,1773-06-26,18878,FALSE,-1,-1,-1,158,4.5999999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310514,45,-33.3033,1773-06-27,18878,FALSE,-1,-1,-1,270,4.5999999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310515,45.0833,-29.1033,1773-06-28,18878,FALSE,-1,-1,-1,315,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310520,47.6333,-16.1867,1773-07-03,18878,FALSE,-1,-1,-1,222,6.69999981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
311028,29.7333,-61.9867,1787-01-10,18879,FALSE,-1,-1,-1,225,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
311029,30.9833,-59.0533,1787-01-11,18879,FALSE,-1,-1,-1,225,9.30000019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
311031,32.3,-52.3533,1787-01-13,18879,FALSE,-1,-1,-1,315,9.30000019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
311032,32.3167,-51.47,1787-01-14,18879,FALSE,-1,-1,-1,360,6.69999981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
485015,47.2833,-21.25,1753-11-15,20951,FALSE,-1,-1,-1,225,12.3000002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310072,40.9,-45.72,1786-06-12,20069,FALSE,-1,-1,-1,180,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
457755,32.5667,-13.9367,1811-01-08,18890,FALSE,-1,-1,-1,45,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
457756,31.5167,-16.27,1811-01-09,18890,FALSE,-1,-1,-1,135,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
457764,9.13333,-17.7367,1811-01-17,18890,FALSE,-1,-1,-1,68,6.69999981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
457770,3.48333,-15.5367,1811-01-24,18890,FALSE,-1,-1,-1,500,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
457828,-36.15,-4.45333,1811-02-19,18890,FALSE,-1,-1,-1,225,12.3000002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
309718,27.45,-29.77,1775-12-22,18168,FALSE,-1,-1,-1,87,9.30000019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
457761,17.25,-17.9367,1811-01-14,18890,FALSE,-1,-1,-1,68,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
457724,43.1167,-10.97,1810-12-31,18890,FALSE,-1,-1,-1,180,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
457762,15.3,-17.77,1811-01-15,18890,FALSE,-1,-1,-1,68,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310116,31.7,-20.1533,1785-11-22,18152,FALSE,-1,-1,-1,68,6.69999981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
309719,26.5,-32.3533,1775-12-23,18168,FALSE,-1,-1,-1,87,9.30000019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
309720,25.4833,-35.1533,1775-12-24,18168,FALSE,-1,-1,-1,23,9.30000019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
310126,17.25,-47.3867,1785-12-02,18152,FALSE,-1,-1,-1,68,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
306844,23.6167,-35.8167,1771-05-23,18136,FALSE,-1,-1,-1,68,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
308917,23.45,-30.67,1775-12-16,18150,FALSE,-1,-1,-1,180,4.5999999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
309024,45.5667,-9.27,1786-10-28,18156,FALSE,-1,-1,-1,158,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
309025,44.45,-10.02,1786-10-29,18156,FALSE,-1,-1,-1,135,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
490019,24.9,-33.9867,1788-11-21,18551,FALSE,-1,-1,-1,68,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
490021,23.2,-38.9033,1788-11-23,18551,FALSE,-1,-1,-1,90,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
490024,19.1,-43.92,1788-11-26,18551,FALSE,-1,-1,-1,90,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
