observationID,locationID,Latitude,Longitude,obsDate,voyageID,memoType,memoText
3889100,306535,46.3833,-8.83333,1784-10-10,18170,allWindForces,Plus frais
3889099,306535,46.3833,-8.83333,1784-10-10,18170,anchored,False
3889098,306535,46.3833,-8.83333,1784-10-10,18170,windDirection,ESE
3889097,306535,46.3833,-8.83333,1784-10-10,18170,windForce,plus frais
3889096,306535,46.3833,-8.83333,1784-10-10,18170,allWindDirections,du ESE
3889108,306536,44.4,-11.75,1784-10-11,18170,allWindForces,Bon frais
3889107,306536,44.4,-11.75,1784-10-11,18170,anchored,False
3889106,306536,44.4,-11.75,1784-10-11,18170,stateOfSea,Grosse
3889105,306536,44.4,-11.75,1784-10-11,18170,windDirection,SW
3889104,306536,44.4,-11.75,1784-10-11,18170,windForce,bon frais
3889103,306536,44.4,-11.75,1784-10-11,18170,allWindDirections,du ESE au SO
3889118,306537,42.3333,-14.65,1784-10-12,18170,allWindForces,Bon frais
3889117,306537,42.3333,-14.65,1784-10-12,18170,anchored,False
3889116,306537,42.3333,-14.65,1784-10-12,18170,stateOfSea,Grosse
3889115,306537,42.3333,-14.65,1784-10-12,18170,precipitationDescription,Pluie
3889114,306537,42.3333,-14.65,1784-10-12,18170,weather,Pluvieux
3889113,306537,42.3333,-14.65,1784-10-12,18170,windDirection,ESE
3889112,306537,42.3333,-14.65,1784-10-12,18170,windForce,bon frais
3889111,306537,42.3333,-14.65,1784-10-12,18170,allWindDirections,au ESE
3889126,306538,41.2167,-15.4667,1784-10-13,18170,allWindForces,Petite frais
3889125,306538,41.2167,-15.4667,1784-10-13,18170,anchored,False
3889124,306538,41.2167,-15.4667,1784-10-13,18170,stateOfSea,Grosse
3889123,306538,41.2167,-15.4667,1784-10-13,18170,windDirection,E
3889122,306538,41.2167,-15.4667,1784-10-13,18170,windForce,petite frais
3889121,306538,41.2167,-15.4667,1784-10-13,18170,allWindDirections,au E
3889134,306539,39.6667,-17.3,1784-10-14,18170,allWindForces,Jolie frais
3889133,306539,39.6667,-17.3,1784-10-14,18170,anchored,False
3889132,306539,39.6667,-17.3,1784-10-14,18170,stateOfSea,Trs houleuse
3889131,306539,39.6667,-17.3,1784-10-14,18170,windDirection,NNE
3889130,306539,39.6667,-17.3,1784-10-14,18170,windForce,jolie frais
3889129,306539,39.6667,-17.3,1784-10-14,18170,allWindDirections,du N au NNE
3889143,306540,39.4833,-19.6667,1784-10-15,18170,allWindForces,Frais et Variable et trs frais
3889142,306540,39.4833,-19.6667,1784-10-15,18170,anchored,False
3889141,306540,39.4833,-19.6667,1784-10-15,18170,stateOfSea,Trs grosse
3889140,306540,39.4833,-19.6667,1784-10-15,18170,weather,Couvert
3889139,306540,39.4833,-19.6667,1784-10-15,18170,windDirection,N
3889138,306540,39.4833,-19.6667,1784-10-15,18170,windForce,frais
3889137,306540,39.4833,-19.6667,1784-10-15,18170,allWindDirections,du NNE au N et au NO
3889151,306541,34.8333,-22.9167,1784-10-16,18170,allWindForces,Frais et Variable et trs frais
3889150,306541,34.8333,-22.9167,1784-10-16,18170,anchored,False
3889149,306541,34.8333,-22.9167,1784-10-16,18170,precipitationDescription,Pluie
3889148,306541,34.8333,-22.9167,1784-10-16,18170,windDirection,NNE
3889147,306541,34.8333,-22.9167,1784-10-16,18170,windForce,frais
3889146,306541,34.8333,-22.9167,1784-10-16,18170,allWindDirections,du NNO au NNE
3889160,306542,32.4,-24.2167,1784-10-17,18170,allWindForces,Bon frais
3889159,306542,32.4,-24.2167,1784-10-17,18170,anchored,False
3889158,306542,32.4,-24.2167,1784-10-17,18170,stateOfSea,Grosse
3889157,306542,32.4,-24.2167,1784-10-17,18170,precipitationDescription,Pluie
3889156,306542,32.4,-24.2167,1784-10-17,18170,windDirection,WNW
3889155,306542,32.4,-24.2167,1784-10-17,18170,windForce,bon frais
3889154,306542,32.4,-24.2167,1784-10-17,18170,allWindDirections,du ONO
3889167,306543,30.6167,-25.9833,1784-10-18,18170,allWindForces,Variable
3889166,306543,30.6167,-25.9833,1784-10-18,18170,anchored,False
3889165,306543,30.6167,-25.9833,1784-10-18,18170,windDirection,NNW
3889164,306543,30.6167,-25.9833,1784-10-18,18170,windForce,variable
3889163,306543,30.6167,-25.9833,1784-10-18,18170,allWindDirections,du NNO et N au NNE
3889174,306544,29.8333,-27.0,1784-10-19,18170,allWindForces,Petite brise
3889173,306544,29.8333,-27.0,1784-10-19,18170,anchored,False
3889172,306544,29.8333,-27.0,1784-10-19,18170,windDirection,NNW
3889171,306544,29.8333,-27.0,1784-10-19,18170,windForce,petite brise
3889170,306544,29.8333,-27.0,1784-10-19,18170,allWindDirections,du NNO
3889183,306545,28.2833,-29.6667,1784-10-21,18170,allWindForces,Variable
3889182,306545,28.2833,-29.6667,1784-10-21,18170,anchored,False
3889181,306545,28.2833,-29.6667,1784-10-21,18170,stateOfSea,Belle
3889180,306545,28.2833,-29.6667,1784-10-21,18170,precipitationDescription,Pluie
3889179,306545,28.2833,-29.6667,1784-10-21,18170,windDirection,SE
3889178,306545,28.2833,-29.6667,1784-10-21,18170,windForce,variable
3889177,306545,28.2833,-29.6667,1784-10-21,18170,allWindDirections,"au ESE, SE et SSE"
3889189,306546,27.2333,-32.0,1784-10-22,18170,anchored,False
3889188,306546,27.2333,-32.0,1784-10-22,18170,stateOfSea,Peu agite
3889187,306546,27.2333,-32.0,1784-10-22,18170,windDirection,SE
3889186,306546,27.2333,-32.0,1784-10-22,18170,allWindDirections,au SE route OSO
3889198,306547,25.8,-34.3667,1784-10-23,18170,allWindForces,Frais
3889197,306547,25.8,-34.3667,1784-10-23,18170,anchored,False
3889196,306547,25.8,-34.3667,1784-10-23,18170,precipitationDescription,Pluie
3889195,306547,25.8,-34.3667,1784-10-23,18170,weather,Beau temps et quelques grains
3889194,306547,25.8,-34.3667,1784-10-23,18170,windDirection,SE
3889193,306547,25.8,-34.3667,1784-10-23,18170,windForce,frais
3889192,306547,25.8,-34.3667,1784-10-23,18170,allWindDirections,au SE route OSO
3889207,306548,24.4833,-36.0667,1784-10-24,18170,allWindForces,Vent frais
3889206,306548,24.4833,-36.0667,1784-10-24,18170,anchored,False
3889205,306548,24.4833,-36.0667,1784-10-24,18170,precipitationDescription,Pluie
3889204,306548,24.4833,-36.0667,1784-10-24,18170,weather,Par grains
