obsDate,Latitude,Longitude,voyageID,memoText,memoType,locationID
1767-10-29,21.0833,-36.8,20333,Winds today du E au ENE; Winds blowing petite frais. Weather notes: beau temps. Sea conditions: un peu houleuse.,weatherReport,306591
1767-10-30,20.8,-38.75,20333,Winds today du E au ENE; Winds blowing petite frais. Weather notes: beau temps. Sea conditions: houleuse.,weatherReport,306592
1767-10-31,19.8333,-41.05,20333,Winds today du SE au ESE et au SE; Winds blowing bon petite frais. Weather notes: beau temps.,weatherReport,306593
1767-11-01,18.0833,-43.2,20333,Winds today du ESE; Winds blowing bon petite frais. Weather notes: beau temps.,weatherReport,306594
1767-11-02,18.2,-45.2,20333,Winds today du ESE; Winds blowing bon petite frais. Weather notes: beau temps.,weatherReport,306595
1768-03-15,43.4667,-38.3167,19002,Winds today au SE; Winds blowing gros frais. Weather notes: pluvieux.,weatherReport,306596
1768-03-16,44.0667,-35.5167,19002,Winds today au SE; Winds blowing calme plat. Weather notes: couvert et brum. Sea conditions: houleuse.,weatherReport,306597
1768-03-17,44.35,-34.05,19002,Winds today du N au E passant pour le NE; Winds blowing petite frais.,weatherReport,306598
1768-03-18,45.1667,-31.4,19002,Winds today au SSE; Winds blowing bon petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306599
1768-03-19,46.2667,-28.3333,19002,Winds today du S 1/4 SE au S; Winds blowing bon frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306600
1768-03-20,47.7,-24.7333,19002,Winds today du S 1/4 SE au SE; Winds blowing bon frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306601
1768-03-21,49.2833,-23.4833,19002,Winds today du SE au SE 1/4 E; Winds blowing joly frais. Weather notes: beau temps.,weatherReport,306602
1767-11-04,16.2833,-50.5667,20333,Winds today du ESE; Winds blowing bon petite frais. Weather notes: beau temps.,weatherReport,306603
1767-11-05,16.4833,-53.25,20333,Winds today du SE; Winds blowing bon petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306604
1767-11-06,16.3,-55.6833,20333,Winds today du SE au ESE; Winds blowing bon petite frais. Weather notes: orageux.,weatherReport,306605
1767-11-07,16.0667,-57.1667,20333,Winds today du SE au ESE; Winds blowing bon petite frais. Weather notes: orageux.,weatherReport,306606
1767-11-08,16.0167,-59.6833,20333,Winds today du SE au ESE; Winds blowing bon petite frais. Weather notes: orageux.,weatherReport,306607
1767-11-09,16.2833,-61.8667,20333,Winds today du SE au ESE; Winds blowing bon petite frais. Weather notes: orageux.,weatherReport,306608
1767-11-10,16.2167,-63.7833,20333,Goudeloupe,anchorPlace,306609
1767-11-10,16.2167,-63.7833,20333,Winds today du SE; Winds blowing bon petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306609
1768-02-24,21.3333,-64.5667,19002,Winds today du E; Winds blowing bon frais. Weather notes: beau temps. Sea conditions: houleuse.,weatherReport,306610
1768-02-25,22.3667,-64.7,19002,Winds today du ESE; Winds blowing petite frais.,weatherReport,306611
1768-02-26,22.0667,-64.3333,19002,Winds today du NE au N 1/4 NE; Winds blowing bon frais.,weatherReport,306612
1768-03-22,48.5167,-23.7667,19002,Winds today du SE au SE 1/4 S; Winds blowing bon frais. Weather notes: un peu couvert. Sea conditions: houleuse.,weatherReport,306613
1768-03-23,49.2667,-22.0,19002,Winds today du S 1/4 SE au SSE; Winds blowing gros frais. Weather notes: couvert.,weatherReport,306614
1768-03-24,49.4833,-22.4667,19002,Winds today du SSE au SE; Winds blowing gros frais.,weatherReport,306615
1768-03-25,49.2833,-23.2667,19002,Winds today du SE; Winds blowing gros frais.,weatherReport,306616
1768-03-26,48.75,-20.4833,19002,Winds today du S au SSE; Winds blowing gros frais. Weather notes: pluvieux. Sea conditions: houleuse.,weatherReport,306617
1768-03-27,49.0,-17.5,19002,Winds today du S 1/4 SO au SO; Winds blowing a la cappe. Weather notes: beau temps. Sea conditions: houleuse.,weatherReport,306618
1768-03-28,49.4667,-13.4667,19002,Winds today du SO 1/4 S au O; Weather notes: beau temps. Sea conditions: houleuse.,weatherReport,306619
1768-03-29,48.6,-8.91667,19002,Winds today du N au NO; Winds blowing bon frais.,weatherReport,306620
1767-10-12,44.9333,-9.81667,20333,Winds today du NNE au ENE; Winds blowing bon frais. Sea conditions: houleuse.,weatherReport,306621
1767-10-13,43.1833,-13.2167,20333,Winds today du E au SE; Winds blowing bon petite frais. Weather notes: beau temps.,weatherReport,306622
1767-10-14,39.9167,-15.35,20333,Winds today du N au NNE; Winds blowing bon frais. Weather notes: par grains. Sea conditions: un peu houleuse.,weatherReport,306623
1767-10-15,37.1333,-17.2333,20333,Winds today du N au NNE et NE; Winds blowing bon frais. Weather notes: un peu couvert.,weatherReport,306624
1767-10-16,36.2667,-18.7667,20333,Winds today du N au NNE et NE; Winds blowing bon frais. Weather notes: un peu couvert.,weatherReport,306625
1767-10-17,32.8833,-19.1167,20333,Winds today au NE; Winds blowing bon petite frais. Weather notes: couvert.,weatherReport,306626
1767-10-18,30.3667,-21.65,20333,Winds today du NE au ENE; Winds blowing bon petite frais. Weather notes: beau temps et couvert.,weatherReport,306627
1767-10-19,29.2167,-23.5833,20333,Winds today au NE; Winds blowing bon petite frais.,weatherReport,306628
1767-10-20,28.5,-24.9,20333,Winds today du E au SE; Winds blowing petite frais.,weatherReport,306629
1767-10-21,28.25,-25.6333,20333,Winds today du SSE au O; Winds blowing petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306630
1767-10-22,28.3667,-26.0667,20333,Winds today du SO au OSO; Winds blowing bon petite frais. Weather notes: beau temps. Sea conditions: belle.,weatherReport,306631
1767-10-23,27.0833,-26.3167,20333,Winds today du O 1/4 SO au N; Winds blowing trs petite frais.,weatherReport,306632
