seaIce,airTemp,gusts,thunder,snow,longitude,date,windSpeed,fog,locationID,rain,sst,latitude,pressure,voyageID,windDirection,hail
0,NA,0,0,0,-26.3667,1774-03-13 14:00,9.30000019,0,1,0,-1,-13.4,-1,4,132,0
0,NA,0,0,0,-27.0,1774-03-14 14:00,6.69999981,0,2,0,-1,-15.5167,-1,4,132,0
0,NA,0,0,0,-27.65,1774-03-15 14:00,9.30000019,0,3,0,-1,-16.9667,-1,4,90,0
0,NA,0,0,0,-28.4167,1774-03-16 14:00,6.69999981,0,4,0,-1,-18.4,-1,4,68,0
0,NA,0,0,0,-29.0,1774-03-17 14:00,4.5999999,0,5,0,-1,-19.8333,-1,4,68,0
0,NA,0,0,0,-29.6667,1774-03-18 14:00,2.5999999,0,6,0,-1,-21.25,-1,4,113,0
0,NA,0,0,0,-30.5167,1774-03-19 14:00,4.5999999,0,7,0,-1,-22.8333,-1,4,68,0
0,NA,0,0,0,-31.2667,1774-03-20 14:00,6.69999981,0,8,0,-1,-24.2833,-1,4,87,0
0,NA,0,0,0,-31.7,1774-03-21 14:00,6.69999981,0,9,0,-1,-25.25,-1,4,45,0
0,NA,0,0,0,-32.1833,1774-03-22 14:00,2.5999999,0,10,0,-1,-25.9333,-1,4,3,0
0,NA,0,0,0,-32.3167,1774-03-23 14:00,2.5999999,0,11,1,-1,-26.5333,-1,4,360,0
0,NA,0,0,0,-33.25,1774-03-24 14:00,0,0,12,0,-1,-28.0,-1,4,0,0
0,NA,0,0,0,-20.7333,1774-02-24 13:00,4.9000001,1,13,0,-1,4.05,-1,4,68,0
0,NA,0,0,0,-20.7667,1774-02-25 13:00,0,0,14,0,-1,3.56667,-1,4,0,0
0,NA,0,0,0,-20.8167,1774-02-26 13:00,1,0,15,0,-1,3.73333,-1,4,0,0
0,NA,0,0,0,-20.8333,1774-02-27 13:00,0,0,16,1,-1,3.15,-1,4,0,0
0,NA,0,0,0,-20.9167,1774-02-28 13:00,-1,0,17,0,-1,2.03333,-1,4,273,0
0,NA,0,0,0,-21.05,1774-03-01 13:00,4.5999999,0,18,0,-1,0.85,-1,4,273,0
0,NA,0,0,0,-21.1,1774-03-02 13:00,4.5999999,0,19,0,-1,0.666667,-1,4,23,0
0,NA,0,1,0,-20.9833,1774-03-03 13:00,6.69999981,0,20,0,-1,-0.783333,-1,4,315,0
0,NA,0,0,0,-21.5833,1774-03-04 13:00,6.69999981,0,21,1,-1,-1.41667,-1,4,180,0
0,NA,0,0,0,-22.07,1774-03-05 12:00,6.69999981,0,22,0,-1,-2.09,-1,4,138,0
0,NA,0,0,0,-22.55,1774-03-06 12:00,-1,0,23,0,-1,-2.76667,-1,4,500,0
0,NA,0,0,0,-23.0333,1774-03-07 14:00,2.5999999,0,24,0,-1,-4.05,-1,4,68,0
0,NA,0,0,0,-23.8167,1774-03-08 14:00,2.5999999,0,25,0,-1,-5.95,-1,4,113,0
0,NA,0,0,0,-24.55,1774-03-10 14:00,9.30000019,0,26,0,-1,-7.78333,-1,4,113,0
0,NA,0,0,0,-25.2167,1774-03-11 14:00,6.69999981,0,27,0,-1,-9.65,-1,4,132,0
0,NA,0,0,0,-25.95,1774-03-12 14:00,6.69999981,0,28,0,-1,-11.2,-1,4,132,0
0,NA,0,0,0,-38.6,1774-04-02 15:00,12.3000002,0,29,0,-1,-35.5333,-1,4,203,0
0,NA,0,0,0,-38.2833,1774-04-03 15:00,9.30000019,0,30,0,-1,-35.7,-1,4,225,0
0,NA,0,0,0,-42.65,1774-04-08 15:00,2.5999999,0,31,0,-1,-35.2167,-1,4,87,0
0,NA,0,0,0,-46.6167,1774-04-09 15:00,0,0,32,1,-1,-35.2167,-1,4,0,0
0,NA,0,1,0,-48.3333,1774-04-10 15:00,6.69999981,0,33,1,-1,-35.35,-1,4,68,0
0,NA,0,0,0,-48.3,1774-04-11 15:00,9.30000019,0,34,0,-1,-35.25,-1,4,315,0
0,NA,0,0,0,-39.15,1774-04-04 15:00,0,0,35,0,-1,-36.4667,-1,4,0,0
0,NA,0,0,0,-39.8167,1774-04-05 15:00,9.30000019,0,36,0,-1,-36.4667,-1,4,293,0
0,NA,0,0,0,-34.7833,1774-03-25 14:00,9.30000019,0,37,0,-1,-30.15,-1,4,90,0
0,NA,0,0,0,-35.1167,1774-03-26 14:00,12.3000002,0,38,0,-1,-31.45,-1,4,293,0
0,NA,0,0,0,-34.4,1774-03-27 14:00,12.3000002,0,39,0,-1,-32.0833,-1,4,228,0
0,NA,0,0,0,-34.65,1774-03-28 14:00,4.5999999,0,40,0,-1,-32.2667,-1,4,180,0
0,NA,0,0,0,-36.1833,1774-03-29 14:00,6.69999981,0,41,0,-1,-33.1667,-1,4,3,0
0,NA,0,0,0,-37.4667,1774-03-30 14:00,6.69999981,0,42,0,-1,-33.85,-1,4,45,0
0,NA,0,0,0,-39.6833,1774-03-31 15:00,9.30000019,0,43,0,-1,-34.8667,-1,4,23,0
0,NA,0,0,0,-39.2167,1774-04-01 15:00,12.3000002,0,44,0,-1,-35.0667,-1,4,228,0
0,NA,0,0,0,-49.2,1774-04-12 15:00,2.5999999,0,45,0,-1,-35.55,-1,4,158,0
0,NA,0,0,0,-49.48,1774-04-13 12:00,6.69999981,0,46,0,-1,-35.4833,-1,4,318,0
0,NA,0,0,0,-49.7667,1774-04-14 15:00,6.69999981,0,47,0,-1,-35.6667,-1,4,248,0
0,NA,0,0,0,-50.0167,1774-04-15 15:00,6.69999981,0,48,0,-1,-35.4,-1,4,225,0
0,NA,0,0,0,-52.45,1774-04-16 15:00,2.9000001,0,49,0,-1,-35.1667,-1,4,357,0
0,NA,0,0,0,-53.3167,1774-10-20 16:00,9.30000019,0,50,0,-1,-35.9,-1,5,203,0
0,NA,0,0,0,-53.25,1774-10-21 16:00,13.1000004,0,51,0,-1,-37.5,-1,5,225,0
0,NA,0,0,0,-54.5,1774-10-22 16:00,6.69999981,0,52,0,-1,-39.85,-1,5,293,0
0,NA,0,0,0,-56.0667,1774-10-23 16:00,9.30000019,0,53,0,-1,-41.85,-1,5,315,0
0,NA,0,0,0,-55.45,1774-10-24 16:00,-1,0,54,0,-1,-43.3333,-1,5,270,0
0,NA,0,0,0,-54.8833,1774-10-25 16:00,9.30000019,0,55,0,-1,-44.1,-1,5,225,0
0,NA,0,0,0,-54.6,1774-10-26 16:00,9.30000019,0,56,0,-1,-44.5167,-1,5,248,0
0,NA,0,0,0,-53.8833,1774-10-27 16:00,6.69999981,0,57,1,-1,-45.2333,-1,5,267,1
0,NA,0,0,0,-54.55,1774-10-28 16:00,12.3000002,0,58,0,-1,-44.9333,-1,5,222,0
0,NA,0,0,0,-55.05,1774-10-29 16:00,12.3000002,0,59,0,-1,-44.9,-1,5,315,0
0,NA,0,0,0,-56.4333,1774-10-30 16:00,6.69999981,0,60,0,-1,-45.6667,-1,5,248,0
0,NA,0,0,0,-58.2167,1774-10-31 16:00,-1,1,61,0,-1,-46.7,-1,5,312,0
0,NA,0,0,0,-60.7833,1774-11-01 16:00,0,1,62,0,-1,-48.5667,-1,5,0,0
0,NA,0,0,0,-61.5667,1774-11-02 16:00,6.69999981,0,63,0,-1,-50.6,-1,5,312,0
0,NA,0,0,0,-56.7167,1774-12-18 16:00,6.69999981,0,64,0,-1,-49.4333,-1,6,180,0
0,NA,0,0,0,-56.8833,1774-12-19 16:00,6.69999981,0,65,0,-1,-46.6833,-1,6,203,0
0,NA,0,0,0,-56.2167,1774-12-20 16:00,6.69999981,0,66,0,-1,-44.7,-1,6,228,0
0,NA,0,0,0,-55.7833,1774-12-21 16:00,6.69999981,0,67,0,-1,-41.75,-1,6,225,0
0,NA,0,0,0,-53.95,1774-12-22 16:00,9.30000019,0,68,0,-1,-39.2167,-1,6,225,0
0,NA,0,0,0,-53.2,1774-12-23 16:00,9.30000019,0,69,0,-1,-36.9833,-1,6,267,0
0,NA,0,0,0,-54.5833,1774-12-24 16:00,6.69999981,0,70,0,-1,-36.6167,-1,6,203,0
0,NA,0,0,0,-55.2333,1774-12-25 16:00,9.30000019,0,71,0,-1,-36.4333,-1,6,318,0
0,NA,0,0,0,-54.2833,1774-12-26 16:00,6.69999981,1,72,0,-1,-35.5333,-1,6,68,0
0,NA,0,1,0,-54.2833,1774-12-27 16:00,-1,0,73,1,-1,-35.5333,-1,6,248,0
0,NA,0,0,0,-77.4167,1790-07-03 17:00,12.3000002,0,74,0,-1,-15.1833,-1,7,113,0
0,NA,0,0,0,-76.5833,1790-07-04 17:00,12.3000002,1,75,1,-1,-14.8333,-1,7,113,0
0,NA,0,0,0,-75.65,1790-07-05 17:00,4.5999999,1,76,1,-1,-14.3167,-1,7,135,0
